# BUSCO version is: 5.4.4 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2020-08-05, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
471at4891	Complete	ctg000010_P	101587	108081	+	842.8	1015	https://www.orthodb.org/v10?query=471at4891	Ras guanine nucleotide exchange factor domain superfamily
510at4891	Complete	ctg000000_P	1121683	1125345	+	1193.5	943	https://www.orthodb.org/v10?query=510at4891	Protein MSN5
514at4891	Complete	ctg000011_P	520989	526574	-	1487.6	1392	https://www.orthodb.org/v10?query=514at4891	Proteasome component ECM29
515at4891	Complete	ctg000010_P	74640	79043	-	1583.5	987	https://www.orthodb.org/v10?query=515at4891	Chromo domain
519at4891	Complete	ctg000007_P	576687	584162	-	1806.5	1723	https://www.orthodb.org/v10?query=519at4891	Armadillo-type fold
528at4891	Complete	ctg000001_P	484249	488322	+	1774.7	1026	https://www.orthodb.org/v10?query=528at4891	PurM-like, C-terminal domain
535at4891	Duplicated	ctg000007_P	727477	731700	-	846.5	863	https://www.orthodb.org/v10?query=535at4891	Nucleoporin-domain-containing protein
535at4891	Duplicated	ctg000010_P	206071	210222	+	731.4	828	https://www.orthodb.org/v10?query=535at4891	Nucleoporin-domain-containing protein
540at4891	Complete	ctg000006_P	57679	62343	-	1063.5	1254	https://www.orthodb.org/v10?query=540at4891	Nucleoporin Nup188
569at4891	Complete	ctg000005_P	705735	710210	+	1120.5	857	https://www.orthodb.org/v10?query=569at4891	DNA polymerase
578at4891	Complete	ctg000000_P	1043867	1047937	+	899.9	984	https://www.orthodb.org/v10?query=578at4891	pre-mRNA 3'-end processing factor CF II
594at4891	Complete	ctg000002_P	358475	361912	+	1921.2	972	https://www.orthodb.org/v10?query=594at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
630at4891	Complete	ctg000000_P	778533	783905	-	1767.2	1265	https://www.orthodb.org/v10?query=630at4891	Sec7, C-terminal
631at4891	Complete	ctg000014_P	102403	106383	-	1692.0	930	https://www.orthodb.org/v10?query=631at4891	P-type ATPase
652at4891	Complete	ctg000008_P	461695	466782	-	864.9	894	https://www.orthodb.org/v10?query=652at4891	Anaphase-promoting complex (APC), subunit 1 (meiotic check point regulator/Tsg24)
662at4891	Complete	ctg000022_P	53574	59537	-	611.1	983	https://www.orthodb.org/v10?query=662at4891	Armadillo-type fold
665at4891	Complete	ctg000000_P	195018	198614	-	1622.8	980	https://www.orthodb.org/v10?query=665at4891	Coatomer subunit alpha
676at4891	Complete	ctg000010_P	484084	487710	-	1623.4	957	https://www.orthodb.org/v10?query=676at4891	P-type ATPase
692at4891	Complete	ctg000006_P	704014	709179	-	1419.1	1263	https://www.orthodb.org/v10?query=692at4891	nucleic acid-binding protein
693at4891	Duplicated	ctg000008_P	92154	96881	+	1035.4	878	https://www.orthodb.org/v10?query=693at4891	MAP kinase kinase kinase
693at4891	Duplicated	ctg000012_P	88988	92797	+	983.5	861	https://www.orthodb.org/v10?query=693at4891	MAP kinase kinase kinase
695at4891	Complete	ctg000022_P	648124	651474	-	1669.5	890	https://www.orthodb.org/v10?query=695at4891	Carbamoyl-phosphate synthase arginine-specific large chain
707at4891	Complete	ctg000001_P	412766	417652	+	261.3	337	https://www.orthodb.org/v10?query=707at4891	Separin
721at4891	Complete	ctg000013_P	209293	213345	-	1187.4	918	https://www.orthodb.org/v10?query=721at4891	DNA-directed RNA polymerase
722at4891	Complete	ctg000002_P	583964	588904	+	964.5	967	https://www.orthodb.org/v10?query=722at4891	Acetyl-CoA synthetase-like protein
730at4891	Complete	ctg000000_P	277312	280602	+	1468.5	857	https://www.orthodb.org/v10?query=730at4891	DNA polymerase
746at4891	Complete	ctg000003_P	907496	910798	+	1351.4	740	https://www.orthodb.org/v10?query=746at4891	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
751at4891	Complete	ctg000007_P	722959	726174	+	1668.9	922	https://www.orthodb.org/v10?query=751at4891	Aminoacyl-tRNA synthetase, class Ia
811at4891	Complete	ctg000002_P	148631	151879	+	1203.8	804	https://www.orthodb.org/v10?query=811at4891	DNA polymerase gamma
845at4891	Complete	ctg000003_P	858755	862750	-	1332.7	1007	https://www.orthodb.org/v10?query=845at4891	Elongator complex protein 1
863at4891	Complete	ctg000107_P	320623	323661	-	1630.7	851	https://www.orthodb.org/v10?query=863at4891	2-oxoglutarate dehydrogenase E1 component
869at4891	Complete	ctg000005_P	817443	821030	-	1591.3	850	https://www.orthodb.org/v10?query=869at4891	ABC transporter, conserved site
960at4891	Duplicated	ctg000003_P	606954	610085	+	1712.3	912	https://www.orthodb.org/v10?query=960at4891	Elongation factor 3
960at4891	Duplicated	ctg000008_P	168137	171268	-	1731.9	911	https://www.orthodb.org/v10?query=960at4891	Elongation factor 3
962at4891	Complete	ctg000002_P	142820	145693	+	1434.7	811	https://www.orthodb.org/v10?query=962at4891	Alanine--tRNA ligase
982at4891	Complete	ctg000006_P	615618	618674	+	1253.7	757	https://www.orthodb.org/v10?query=982at4891	Glycine cleavage system P protein
986at4891	Complete	ctg000005_P	538723	544323	+	2091.6	1394	https://www.orthodb.org/v10?query=986at4891	SNF2-related, N-terminal domain
1006at4891	Complete	ctg000005_P	394636	398142	-	1267.8	904	https://www.orthodb.org/v10?query=1006at4891	Niemann-Pick C1, N-terminal
1011at4891	Complete	ctg000008_P	315640	319881	-	1628.6	954	https://www.orthodb.org/v10?query=1011at4891	DNA topoisomerase 2
1037at4891	Complete	ctg000008_P	343072	347472	-	1327.1	927	https://www.orthodb.org/v10?query=1037at4891	DNA polymerase
1038at4891	Complete	ctg000002_P	527904	531587	+	675.7	714	https://www.orthodb.org/v10?query=1038at4891	Ubiquitin specific protease, conserved site
1088at4891	Complete	ctg000000_P	1020243	1023422	+	1209.0	825	https://www.orthodb.org/v10?query=1088at4891	P-loop containing nucleoside triphosphate hydrolase protein
1099at4891	Complete	ctg000001_P	892246	895494	-	1063.0	747	https://www.orthodb.org/v10?query=1099at4891	Alpha-mannosidase
1120at4891	Complete	ctg000005_P	799626	803174	+	1202.5	774	https://www.orthodb.org/v10?query=1120at4891	Ribosome biogenesis protein BMS1
1180at4891	Complete	ctg000005_P	409367	413050	-	1250.7	963	https://www.orthodb.org/v10?query=1180at4891	Uncharacterised domain NUC173
1186at4891	Complete	ctg000008_P	399064	402222	-	1651.3	869	https://www.orthodb.org/v10?query=1186at4891	RNA cytidine acetyltransferase
1220at4891	Complete	ctg000000_P	1005588	1010549	-	1515.8	1203	https://www.orthodb.org/v10?query=1220at4891	Serine/threonine-protein kinase
1221at4891	Complete	ctg000001_P	1010117	1013221	-	1056.6	754	https://www.orthodb.org/v10?query=1221at4891	FACT complex subunit SPT16
1226at4891	Complete	ctg000010_P	196006	199344	+	1264.4	943	https://www.orthodb.org/v10?query=1226at4891	binding
1228at4891	Complete	ctg000012_P	149376	155840	-	878.4	1197	https://www.orthodb.org/v10?query=1228at4891	WD40-repeat-containing domain
1240at4891	Complete	ctg000000_P	1326089	1330288	-	427.3	640	https://www.orthodb.org/v10?query=1240at4891	Mediator of RNA polymerase II transcription subunit 13
1243at4891	Complete	ctg000003_P	653255	656785	-	1139.8	882	https://www.orthodb.org/v10?query=1243at4891	Condensin complex subunit 1
1266at4891	Complete	ctg000000_P	71113	74325	-	1128.5	791	https://www.orthodb.org/v10?query=1266at4891	NAD-specific glutamate dehydrogenase
1283at4891	Complete	ctg000000_P	715183	720276	-	770.4	1015	https://www.orthodb.org/v10?query=1283at4891	Protein dopey
1299at4891	Complete	ctg000001_P	161572	164823	-	1568.5	941	https://www.orthodb.org/v10?query=1299at4891	Exportin-1
1312at4891	Complete	ctg000022_P	305786	309475	-	1070.8	1091	https://www.orthodb.org/v10?query=1312at4891	Structural maintenance of chromosomes protein
1341at4891	Complete	ctg000011_P	301747	304779	+	754.3	632	https://www.orthodb.org/v10?query=1341at4891	KEN domain
1344at4891	Complete	ctg000001_P	771448	774780	+	483.2	520	https://www.orthodb.org/v10?query=1344at4891	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
1372at4891	Complete	ctg000001_P	434159	437857	-	1124.3	887	https://www.orthodb.org/v10?query=1372at4891	Nrap protein
1378at4891	Complete	ctg000002_P	765202	769443	-	1329.9	819	https://www.orthodb.org/v10?query=1378at4891	Paired amphipathic helix
1391at4891	Complete	ctg000005_P	42068	46666	-	1830.4	1150	https://www.orthodb.org/v10?query=1391at4891	Glycogen debranching enzyme
1392at4891	Complete	ctg000006_P	852600	856262	+	816.2	605	https://www.orthodb.org/v10?query=1392at4891	Ubiquitin carboxyl-terminal hydrolase 7, ICP0-binding domain
1425at4891	Complete	ctg000003_P	832673	836710	+	844.9	664	https://www.orthodb.org/v10?query=1425at4891	Dbl homology (DH) domain
1426at4891	Complete	ctg000013_P	54283	57369	-	930.7	631	https://www.orthodb.org/v10?query=1426at4891	Ferredoxin reductase-type FAD-binding domain
1452at4891	Complete	ctg000006_P	148304	153223	-	1289.8	901	https://www.orthodb.org/v10?query=1452at4891	Lysophospholipase NTE1
1483at4891	Complete	ctg000009_P	273684	276557	-	526.8	581	https://www.orthodb.org/v10?query=1483at4891	Ras GTPase-activating domain
1491at4891	Complete	ctg000001_P	424724	427915	-	1661.0	866	https://www.orthodb.org/v10?query=1491at4891	Aminoacyl-tRNA synthetase, class Ia
1495at4891	Complete	ctg000000_P	107664	111473	+	737.0	684	https://www.orthodb.org/v10?query=1495at4891	WD40-repeat-containing domain
1497at4891	Complete	ctg000022_P	375377	380425	-	930.8	1091	https://www.orthodb.org/v10?query=1497at4891	Nucleoporin Nup186/Nup192/Nup205
1521at4891	Complete	ctg000002_P	956566	959673	+	928.1	768	https://www.orthodb.org/v10?query=1521at4891	Peptidase M16, C-terminal
1523at4891	Complete	ctg000001_P	616488	619913	-	1163.7	766	https://www.orthodb.org/v10?query=1523at4891	Calcium-transporting ATPase
1529at4891	Complete	ctg000107_P	187271	190720	-	1457.7	823	https://www.orthodb.org/v10?query=1529at4891	P-type ATPase
1547at4891	Duplicated	ctg000007_P	123500	126853	-	1104.6	735	https://www.orthodb.org/v10?query=1547at4891	Vacuolar cation-chloride cotransporter 1
1547at4891	Duplicated	ctg000024_P	1673	5026	-	1104.6	735	https://www.orthodb.org/v10?query=1547at4891	Vacuolar cation-chloride cotransporter 1
1597at4891	Complete	ctg000012_P	206672	209782	+	1141.7	707	https://www.orthodb.org/v10?query=1597at4891	putative ATP-dependent permease
1609at4891	Complete	ctg000008_P	700943	705847	+	793.9	1020	https://www.orthodb.org/v10?query=1609at4891	Mon2, C-terminal
1625at4891	Complete	ctg000000_P	1116453	1120988	+	1235.4	819	https://www.orthodb.org/v10?query=1625at4891	SNF2-related, N-terminal domain
1627at4891	Complete	ctg000005_P	692547	695813	-	1389.2	830	https://www.orthodb.org/v10?query=1627at4891	leucyl-tRNA synthetase
1633at4891	Complete	ctg000000_P	580981	583638	+	846.4	564	https://www.orthodb.org/v10?query=1633at4891	Trehalose-phosphatase
1642at4891	Complete	ctg000009_P	599991	603437	+	271.3	563	https://www.orthodb.org/v10?query=1642at4891	Nucleoporin, Nup133/Nup155-like, C-terminal
1653at4891	Fragmented	ctg000001_P	853361	855415	-	683.4	492	https://www.orthodb.org/v10?query=1653at4891	Coatomer subunit beta'
1655at4891	Complete	ctg000003_P	793776	796358	-	1003.6	715	https://www.orthodb.org/v10?query=1655at4891	binding
1667at4891	Complete	ctg000000_P	1305851	1308817	-	996.8	748	https://www.orthodb.org/v10?query=1667at4891	Peptidase M16, C-terminal
1679at4891	Complete	ctg000003_P	885057	888917	-	1339.7	773	https://www.orthodb.org/v10?query=1679at4891	ATP-dependent RNA helicase Ski2, C-terminal
1699at4891	Complete	ctg000001_P	915442	918291	+	1197.8	683	https://www.orthodb.org/v10?query=1699at4891	Calcium-transporting ATPase
1708at4891	Complete	ctg000003_P	62793	65843	-	901.5	719	https://www.orthodb.org/v10?query=1708at4891	GPI ethanolamine phosphate transferase 3
1760at4891	Complete	ctg000003_P	661501	663825	+	1010.7	597	https://www.orthodb.org/v10?query=1760at4891	DNA helicase
1774at4891	Complete	ctg000001_P	984998	988036	+	1207.1	669	https://www.orthodb.org/v10?query=1774at4891	DNA helicase
1803at4891	Complete	ctg000001_P	1065711	1068578	-	1062.7	756	https://www.orthodb.org/v10?query=1803at4891	Importin alpha re-exporter
1807at4891	Complete	ctg000013_P	118432	120909	-	618.2	600	https://www.orthodb.org/v10?query=1807at4891	Nuclear pore protein
1841at4891	Complete	ctg000003_P	255234	258233	-	339.4	543	https://www.orthodb.org/v10?query=1841at4891	Mediator of RNA polymerase II transcription subunit 14
1860at4891	Complete	ctg000107_P	363312	365840	+	1288.4	625	https://www.orthodb.org/v10?query=1860at4891	Helicase, C-terminal
1865at4891	Complete	ctg000022_P	697496	701821	-	1567.6	925	https://www.orthodb.org/v10?query=1865at4891	Nitrite/Sulfite reductase ferredoxin-like domain
1875at4891	Complete	ctg000006_P	388066	391875	-	674.9	790	https://www.orthodb.org/v10?query=1875at4891	Armadillo-type fold
1906at4891	Complete	ctg000001_P	54299	57448	+	747.5	652	https://www.orthodb.org/v10?query=1906at4891	Transcription initiation factor TFIID subunit 1
1923at4891	Complete	ctg000010_P	55110	57353	-	1250.0	645	https://www.orthodb.org/v10?query=1923at4891	ATP-dependent helicase, C-terminal
1936at4891	Complete	ctg000007_P	502984	505857	-	1034.2	584	https://www.orthodb.org/v10?query=1936at4891	Chitin synthase
1947at4891	Complete	ctg000009_P	46355	49390	+	1466.5	903	https://www.orthodb.org/v10?query=1947at4891	Ubiquitin-activating enzyme E1
1970at4891	Complete	ctg000006_P	495995	498541	+	435.6	442	https://www.orthodb.org/v10?query=1970at4891	MIF4G-like, type 1
1979at4891	Complete	ctg000022_P	253881	258308	+	602.2	430	https://www.orthodb.org/v10?query=1979at4891	Protein kinase domain
2008at4891	Complete	ctg000014_P	154344	157901	-	454.7	670	https://www.orthodb.org/v10?query=2008at4891	RNA polymerase III type 2 promoter sequence-specific DNA binding
2010at4891	Complete	ctg000007_P	629696	632296	+	1221.6	652	https://www.orthodb.org/v10?query=2010at4891	DNA helicase
2020at4891	Complete	ctg000022_P	349148	352366	+	1544.1	866	https://www.orthodb.org/v10?query=2020at4891	ATP-dependent RNA helicase DOB1
2040at4891	Complete	ctg000000_P	1264588	1268454	-	531.5	727	https://www.orthodb.org/v10?query=2040at4891	TRAPP II complex, Trs120
2048at4891	Complete	ctg000006_P	866556	869822	-	1152.9	879	https://www.orthodb.org/v10?query=2048at4891	Importin subunit beta-3
2052at4891	Complete	ctg000022_P	506006	509884	-	1141.1	939	https://www.orthodb.org/v10?query=2052at4891	WD40/YVTN repeat-like-containing domain superfamily
2053at4891	Complete	ctg000022_P	68565	70931	-	1181.3	633	https://www.orthodb.org/v10?query=2053at4891	Aconitate hydratase, mitochondrial
2138at4891	Complete	ctg000007_P	590186	593917	+	585.2	497	https://www.orthodb.org/v10?query=2138at4891	Sla1
2161at4891	Complete	ctg000006_P	823213	826080	+	1042.9	694	https://www.orthodb.org/v10?query=2161at4891	Splicing factor 3B subunit 1
2166at4891	Complete	ctg000010_P	235867	238161	+	1282.3	678	https://www.orthodb.org/v10?query=2166at4891	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
2167at4891	Complete	ctg000006_P	649963	652839	-	1359.4	745	https://www.orthodb.org/v10?query=2167at4891	ATP-dependent 6-phosphofructokinase
2171at4891	Complete	ctg000000_P	23341	26319	+	721.8	637	https://www.orthodb.org/v10?query=2171at4891	Rho GTPase activation protein
2180at4891	Complete	ctg000000_P	918413	921313	-	1183.0	750	https://www.orthodb.org/v10?query=2180at4891	Coatomer subunit beta
2193at4891	Complete	ctg000003_P	74261	76972	+	1335.6	760	https://www.orthodb.org/v10?query=2193at4891	P-loop containing nucleoside triphosphate hydrolase protein
2203at4891	Complete	ctg000002_P	440211	442625	-	1071.9	635	https://www.orthodb.org/v10?query=2203at4891	Glutaminyl-tRNA synthetase
2212at4891	Complete	ctg000007_P	416868	419138	+	932.0	566	https://www.orthodb.org/v10?query=2212at4891	ATPase, AAA-type, conserved site
2307at4891	Complete	ctg000003_P	705166	707490	-	1362.6	664	https://www.orthodb.org/v10?query=2307at4891	Aconitate hydratase, mitochondrial
2368at4891	Complete	ctg000003_P	904315	907116	-	999.3	756	https://www.orthodb.org/v10?query=2368at4891	WD40 repeat
2373at4891	Complete	ctg000006_P	252414	254525	-	673.4	431	https://www.orthodb.org/v10?query=2373at4891	Serine/threonine-protein kinase
2385at4891	Complete	ctg000007_P	626361	629345	+	1043.0	739	https://www.orthodb.org/v10?query=2385at4891	Lon protease homolog, mitochondrial
2413at4891	Complete	ctg000007_P	431785	434541	-	531.6	406	https://www.orthodb.org/v10?query=2413at4891	SNF2-related, N-terminal domain
2421at4891	Complete	ctg000022_P	76219	79617	+	824.9	716	https://www.orthodb.org/v10?query=2421at4891	Ubiquitin carboxyl-terminal hydrolase 12
2432at4891	Complete	ctg000005_P	343224	346016	-	1189.1	636	https://www.orthodb.org/v10?query=2432at4891	DNA helicase
2446at4891	Complete	ctg000008_P	581455	586215	-	646.4	761	https://www.orthodb.org/v10?query=2446at4891	Autophagy-related protein 2
2456at4891	Complete	ctg000014_P	121688	125020	+	821.3	524	https://www.orthodb.org/v10?query=2456at4891	SNF2-related, N-terminal domain
2459at4891	Complete	ctg000014_P	150634	154239	+	575.8	892	https://www.orthodb.org/v10?query=2459at4891	WD40/YVTN repeat-like-containing domain superfamily
2471at4891	Complete	ctg000008_P	379892	382774	-	1230.6	779	https://www.orthodb.org/v10?query=2471at4891	Pro-apoptotic serine protease NMA111
2483at4891	Complete	ctg000012_P	280814	283159	+	1010.7	660	https://www.orthodb.org/v10?query=2483at4891	Histidine biosynthesis trifunctional protein
2485at4891	Complete	ctg000001_P	909507	912200	+	1052.5	588	https://www.orthodb.org/v10?query=2485at4891	Putative SWI/SNF family member, DNA-dependent ATPase
2499at4891	Complete	ctg000008_P	729504	732215	+	1038.3	708	https://www.orthodb.org/v10?query=2499at4891	Tetratricopeptide repeat
2515at4891	Complete	ctg000007_P	544023	546770	+	713.4	630	https://www.orthodb.org/v10?query=2515at4891	binding
2531at4891	Complete	ctg000006_P	345566	347899	-	925.2	504	https://www.orthodb.org/v10?query=2531at4891	WD40-repeat-containing domain
2534at4891	Complete	ctg000001_P	65864	69994	-	964.5	612	https://www.orthodb.org/v10?query=2534at4891	ATPase, AAA-type, conserved site
2539at4891	Complete	ctg000006_P	870592	873027	-	571.5	560	https://www.orthodb.org/v10?query=2539at4891	Eukaryotic translation initiation factor 3 subunit C
2543at4891	Complete	ctg000008_P	567691	570606	-	377.5	553	https://www.orthodb.org/v10?query=2543at4891	Mediator of RNA polymerase II transcription subunit 16
2548at4891	Complete	ctg000012_P	130104	134300	+	812.8	756	https://www.orthodb.org/v10?query=2548at4891	Transcription initiation factor TFIID subunit 2
2549at4891	Complete	ctg000011_P	82383	87044	+	1505.5	1008	https://www.orthodb.org/v10?query=2549at4891	WD40 repeat
2564at4891	Complete	ctg000005_P	432879	436109	-	797.6	681	https://www.orthodb.org/v10?query=2564at4891	RuvA domain 2-like
2565at4891	Complete	ctg000007_P	412519	416487	+	750.1	656	https://www.orthodb.org/v10?query=2565at4891	Bromodomain
2568at4891	Complete	ctg000000_P	689845	693270	+	894.7	738	https://www.orthodb.org/v10?query=2568at4891	WD40-repeat-containing domain
2611at4891	Complete	ctg000001_P	123630	126572	+	1341.4	736	https://www.orthodb.org/v10?query=2611at4891	ATP-dependent 6-phosphofructokinase
2618at4891	Duplicated	ctg000006_P	458780	462436	+	1548.3	859	https://www.orthodb.org/v10?query=2618at4891	Myosin-1
2618at4891	Duplicated	ctg000009_P	203498	207313	-	1519.8	854	https://www.orthodb.org/v10?query=2618at4891	Myosin-1
2630at4891	Complete	ctg000007_P	378302	382657	-	899.8	897	https://www.orthodb.org/v10?query=2630at4891	WD40-repeat-containing domain
2640at4891	Complete	ctg000007_P	349991	352360	-	1011.7	537	https://www.orthodb.org/v10?query=2640at4891	Zinc finger, RING-type
2706at4891	Complete	ctg000003_P	863529	865922	+	650.9	520	https://www.orthodb.org/v10?query=2706at4891	Vacuole morphology and inheritance protein 14
2716at4891	Complete	ctg000003_P	667105	669441	-	886.9	536	https://www.orthodb.org/v10?query=2716at4891	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
2724at4891	Complete	ctg000107_P	237123	239306	-	1160.5	589	https://www.orthodb.org/v10?query=2724at4891	Threonyl-tRNA synthetase
2754at4891	Complete	ctg000002_P	74418	76559	+	654.4	543	https://www.orthodb.org/v10?query=2754at4891	Eukaryotic translation initiation factor 3 subunit B
2784at4891	Complete	ctg000001_P	657375	659492	+	1134.1	586	https://www.orthodb.org/v10?query=2784at4891	Tryptophan synthase
2793at4891	Complete	ctg000001_P	659869	662262	+	753.1	591	https://www.orthodb.org/v10?query=2793at4891	Glycosyl hydrolase family 63, N-terminal
2825at4891	Complete	ctg000003_P	251474	253705	-	1127.2	599	https://www.orthodb.org/v10?query=2825at4891	Elongation factor G, mitochondrial
2851at4891	Complete	ctg000003_P	549498	551945	-	822.1	602	https://www.orthodb.org/v10?query=2851at4891	WD40-repeat-containing domain
2862at4891	Complete	ctg000000_P	236598	239102	-	1409.7	695	https://www.orthodb.org/v10?query=2862at4891	ATPase, AAA-type, conserved site
2893at4891	Complete	ctg000002_P	226349	230692	-	1212.6	846	https://www.orthodb.org/v10?query=2893at4891	Cation-transporting ATPase
2898at4891	Complete	ctg000010_P	280374	282956	-	1083.2	636	https://www.orthodb.org/v10?query=2898at4891	N-acetyl-gamma-glutamyl-phosphate reductase, active site
2905at4891	Complete	ctg000008_P	651191	654610	-	389.3	496	https://www.orthodb.org/v10?query=2905at4891	Topoisomerase 1-associated factor 1
2915at4891	Complete	ctg000002_P	138164	142111	-	683.7	899	https://www.orthodb.org/v10?query=2915at4891	UDP-glucose:Glycoprotein Glucosyltransferase
2926at4891	Complete	ctg000022_P	238025	240373	+	770.2	607	https://www.orthodb.org/v10?query=2926at4891	Ribosome-releasing factor 2, mitochondrial
2971at4891	Complete	ctg000000_P	952326	954758	-	1111.5	620	https://www.orthodb.org/v10?query=2971at4891	ClpA/B, conserved site 1
2976at4891	Complete	ctg000001_P	651353	653470	-	1091.3	585	https://www.orthodb.org/v10?query=2976at4891	Glycosyltransferase family 66 protein
2990at4891	Complete	ctg000001_P	840078	844193	+	436.3	603	https://www.orthodb.org/v10?query=2990at4891	Zinc finger, PHD-type
2994at4891	Complete	ctg000000_P	1097647	1100430	+	755.0	658	https://www.orthodb.org/v10?query=2994at4891	Condensin complex subunit 3
3032at4891	Complete	ctg000011_P	321757	323937	-	975.5	586	https://www.orthodb.org/v10?query=3032at4891	Terpene cyclase/mutase family member
