#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ctg000001_P_164      -            369 21317at2157          -            319   1.3e-95  319.0   2.4   1   1   2.3e-95   1.1e-92  309.4   2.4     2   317     1   367     1   368 0.85 # 252406 # 253512 # -1 # ID=2_164;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=10bp;gc_cont=0.402
ctg000011_P_338      -            406 21317at2157          -            319   1.4e-06   26.5   0.1   2   3    0.0065       3.2    5.6   0.0   113   157    85   130    76   194 0.87 # 489368 # 490585 # 1 # ID=12_338;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=6bp;gc_cont=0.377
ctg000011_P_338      -            406 21317at2157          -            319   1.4e-06   26.5   0.1   3   3      0.32   1.5e+02    0.1   0.0   298   312   379   393   373   398 0.85 # 489368 # 490585 # 1 # ID=12_338;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=6bp;gc_cont=0.377
ctg000010_P_247      -            611 21317at2157          -            319     0.004   15.1   0.0   1   2       1.6   7.7e+02   -2.2   0.0    67    84   112   129   111   134 0.87 # 352814 # 354646 # 1 # ID=11_247;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.409
ctg000010_P_247      -            611 21317at2157          -            319     0.004   15.1   0.0   2   2   3.5e-05     0.017   13.0   0.0    62    84   421   443   402   451 0.89 # 352814 # 354646 # 1 # ID=11_247;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.409
ctg000010_P_252      -            224 21317at2157          -            319      0.01   13.8   0.0   1   2   4.7e-05     0.023   12.6   0.0    64   105    15    56    13   105 0.75 # 363268 # 363939 # 1 # ID=11_252;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.418
ctg000010_P_252      -            224 21317at2157          -            319      0.01   13.8   0.0   2   2       1.5   7.5e+02   -2.2   0.0    17    45   160   188   150   198 0.72 # 363268 # 363939 # 1 # ID=11_252;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.418
ctg000001_P_676      -            223 21317at2157          -            319      0.01   13.8   0.0   1   1     3e-05     0.015   13.3   0.0    64   118    15    71    13   108 0.75 # 1017734 # 1018402 # -1 # ID=2_676;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.419
ctg000002_P_297      -            777 21317at2157          -            319     0.012   13.6   0.3   1   2    0.0012       0.6    8.0   0.0    65    92    40    67    36    86 0.84 # 445033 # 447363 # -1 # ID=3_297;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370
ctg000002_P_297      -            777 21317at2157          -            319     0.012   13.6   0.3   2   2     0.037        18    3.1   0.1   123   191   592   661   584   672 0.86 # 445033 # 447363 # -1 # ID=3_297;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370
ctg000014_P_50       -            663 21317at2157          -            319     0.023   12.6   0.5   1   3    0.0026       1.2    6.9   0.0    64    86     7    29     3    34 0.91 # 59548 # 61536 # -1 # ID=15_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ctg000014_P_50       -            663 21317at2157          -            319     0.023   12.6   0.5   2   3       0.6   2.9e+02   -0.9   0.2   193   246   124   177   115   183 0.74 # 59548 # 61536 # -1 # ID=15_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ctg000014_P_50       -            663 21317at2157          -            319     0.023   12.6   0.5   3   3       0.1        51    1.6   0.0    60    82   446   468   404   479 0.74 # 59548 # 61536 # -1 # ID=15_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ctg000008_P_38       -            211 21317at2157          -            319     0.026   12.4   0.0   1   1   7.8e-05     0.038   11.9   0.0    64   126    41   101    32   117 0.66 # 55849 # 56481 # 1 # ID=9_38;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ctg000008_P_118      -           1045 21317at2157          -            319     0.028   12.3   0.0   1   2       0.3   1.5e+02    0.1   0.0    67    86   461   480   459   485 0.88 # 168135 # 171269 # -1 # ID=9_118;partial=00;start_type=ATG;rbs_motif=AAAAAA;rbs_spacer=13bp;gc_cont=0.402
ctg000008_P_118      -           1045 21317at2157          -            319     0.028   12.3   0.0   2   2    0.0006       0.3    9.0   0.0    62    85   694   717   661   737 0.85 # 168135 # 171269 # -1 # ID=9_118;partial=00;start_type=ATG;rbs_motif=AAAAAA;rbs_spacer=13bp;gc_cont=0.402
ctg000001_P_545      -            641 21317at2157          -            319      0.03   12.3   0.1   1   1   0.00015     0.075   11.0   0.1    65    87   339   361   337   384 0.85 # 789361 # 791283 # -1 # ID=2_545;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.389
ctg000003_P_403      -           1045 21317at2157          -            319     0.031   12.2   0.7   1   3       3.6   1.8e+03   -3.4   0.3   191   232   116   157   102   167 0.67 # 606955 # 610089 # 1 # ID=4_403;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.418
ctg000003_P_403      -           1045 21317at2157          -            319     0.031   12.2   0.7   2   3      0.56   2.7e+02   -0.7   0.0    68    86   462   480   458   484 0.86 # 606955 # 610089 # 1 # ID=4_403;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.418
ctg000003_P_403      -           1045 21317at2157          -            319     0.031   12.2   0.7   3   3   0.00035      0.17    9.8   0.0    49    85   681   717   657   737 0.75 # 606955 # 610089 # 1 # ID=4_403;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.418
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/lineages/archaea_odb10/hmms/21317at2157.hmm
# Target file:     /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/auto_lineage/run_archaea_odb10/hmmer_output/21317at2157.out --cpu 1 /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/lineages/archaea_odb10/hmms/21317at2157.hmm /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dominiquefastus/DeNovoProj/BUSCO_ass
# Date:            Fri Feb 24 11:38:53 2023
# [ok]
