#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ctg000006_P_198      -            527 984717at2            -            224   4.7e-15   54.6   0.5   1   1   3.5e-17   1.5e-14   53.0   0.5     3   100   278   382   276   415 0.72 # 302828 # 304408 # -1 # ID=7_198;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=11bp;gc_cont=0.380
ctg000005_P_381      -            648 984717at2            -            224    0.0073   14.7   0.0   1   1   6.9e-05     0.029   12.8   0.0     4    73   172   240   169   300 0.77 # 569886 # 571829 # -1 # ID=6_381;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.406
ctg000006_P_341      -            192 984717at2            -            224     0.015   13.6   0.1   1   2   0.00099      0.41    9.0   0.0     4    21    21    38    18    78 0.89 # 523271 # 523846 # 1 # ID=7_341;partial=00;start_type=ATG;rbs_motif=AAGAA;rbs_spacer=3bp;gc_cont=0.415
ctg000006_P_341      -            192 984717at2            -            224     0.015   13.6   0.1   2   2     0.058        24    3.2   0.0    91   109   123   141    81   158 0.85 # 523271 # 523846 # 1 # ID=7_341;partial=00;start_type=ATG;rbs_motif=AAGAA;rbs_spacer=3bp;gc_cont=0.415
ctg000001_P_123      -            412 984717at2            -            224     0.016   13.6   0.2   1   2   0.00042      0.17   10.2   0.1     2    22     7    27     6    39 0.86 # 182627 # 183862 # 1 # ID=2_123;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.464
ctg000001_P_123      -            412 984717at2            -            224     0.016   13.6   0.2   2   2      0.29   1.2e+02    0.9   0.0    88   108   217   237   189   256 0.78 # 182627 # 183862 # 1 # ID=2_123;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.464
ctg000012_P_112      -            210 984717at2            -            224     0.024   13.0   0.0   1   1   8.8e-05     0.037   12.4   0.0     2    24    19    41    18   148 0.81 # 172644 # 173273 # 1 # ID=13_112;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
ctg000012_P_148      -            323 984717at2            -            224     0.027   12.8   0.4   1   2   0.00021     0.088   11.2   0.1     2    56    35   101    34   115 0.61 # 225163 # 226131 # 1 # ID=13_148;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370
ctg000012_P_148      -            323 984717at2            -            224     0.027   12.8   0.4   2   2       1.6   6.6e+02   -1.5   0.0    94   136   174   220   160   241 0.56 # 225163 # 226131 # 1 # ID=13_148;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370
ctg000014_P_50       -            663 984717at2            -            224     0.042   12.2   0.0   1   3      0.87   3.6e+02   -0.7   0.0     2    20     8    26     7    32 0.86 # 59548 # 61536 # -1 # ID=15_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ctg000014_P_50       -            663 984717at2            -            224     0.042   12.2   0.0   2   3      0.27   1.1e+02    1.0   0.0    91   119   108   137    82   149 0.80 # 59548 # 61536 # -1 # ID=15_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ctg000014_P_50       -            663 984717at2            -            224     0.042   12.2   0.0   3   3    0.0047         2    6.8   0.0     4    25   453   474   450   582 0.73 # 59548 # 61536 # -1 # ID=15_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ctg000000_P_759      -            315 984717at2            -            224     0.053   11.9   1.1   1   1    0.0004      0.17   10.3   1.1     2    25   136   159   135   280 0.77 # 1125608 # 1126552 # 1 # ID=1_759;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.367
ctg000005_P_541      -            193 984717at2            -            224     0.067   11.6   0.0   1   1    0.0011      0.44    8.9   0.0     4    83    30   103    28   154 0.77 # 803389 # 803967 # -1 # ID=6_541;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.390
ctg000003_P_59       -           1560 984717at2            -            224     0.076   11.4   3.4   1   3     0.002      0.83    8.0   0.0     2    22   668   688   667   696 0.92 # 102067 # 106746 # 1 # ID=4_59;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.368
ctg000003_P_59       -           1560 984717at2            -            224     0.076   11.4   3.4   2   3       4.2   1.8e+03   -2.9   0.2   177   210   940   973   823   974 0.59 # 102067 # 106746 # 1 # ID=4_59;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.368
ctg000003_P_59       -           1560 984717at2            -            224     0.076   11.4   3.4   3   3     0.059        25    3.2   0.1     2    18  1332  1348  1331  1352 0.86 # 102067 # 106746 # 1 # ID=4_59;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.368
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/lineages/bacteria_odb10/hmms/984717at2.hmm
# Target file:     /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/auto_lineage/run_bacteria_odb10/hmmer_output/984717at2.out --cpu 1 /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/lineages/bacteria_odb10/hmms/984717at2.hmm /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dominiquefastus/DeNovoProj/BUSCO_ass
# Date:            Fri Feb 24 11:41:11 2023
# [ok]
