#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ctg000006_P_198      -            527 1592033at2           -            393   1.3e-09   36.5   1.0   1   1   6.6e-12     2e-09   35.8   1.0   192   355   272   449   209   485 0.83 # 302828 # 304408 # -1 # ID=7_198;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=11bp;gc_cont=0.380
ctg000007_P_366      -            395 1592033at2           -            393   0.00028   18.9   0.1   1   2   2.8e-06   0.00087   17.3   0.0   195   240    21    67     6    72 0.86 # 525874 # 527058 # 1 # ID=8_366;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=15bp;gc_cont=0.397
ctg000007_P_366      -            395 1592033at2           -            393   0.00028   18.9   0.1   2   2       2.3   7.2e+02   -2.2   0.3   290   381   113   209   108   218 0.70 # 525874 # 527058 # 1 # ID=8_366;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=15bp;gc_cont=0.397
ctg000013_P_91       -            216 1592033at2           -            393   0.00078   17.5   0.4   1   1   1.6e-05    0.0048   14.9   0.4   270   353    90   183     8   197 0.71 # 141028 # 141675 # -1 # ID=14_91;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=7bp;gc_cont=0.407
ctg000008_P_37       -            273 1592033at2           -            393    0.0016   16.5   0.0   1   1   9.4e-06    0.0029   15.6   0.0   272   318   221   266   216   270 0.91 # 54490 # 55308 # 1 # ID=9_37;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=4bp;gc_cont=0.422
ctg000008_P_226      -            221 1592033at2           -            393    0.0017   16.3   0.4   1   2       1.4   4.2e+02   -1.4   0.0   195   216    13    34     9    42 0.81 # 327057 # 327719 # -1 # ID=9_226;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
ctg000008_P_226      -            221 1592033at2           -            393    0.0017   16.3   0.4   2   2     2e-05    0.0063   14.5   0.4   271   361    83   190    81   216 0.67 # 327057 # 327719 # -1 # ID=9_226;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
ctg000000_P_759      -            315 1592033at2           -            393    0.0031   15.5   0.7   1   2   3.8e-05     0.012   13.6   0.1   193   219   132   158   126   165 0.90 # 1125608 # 1126552 # 1 # ID=1_759;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.367
ctg000000_P_759      -            315 1592033at2           -            393    0.0031   15.5   0.7   2   2      0.89   2.7e+02   -0.8   0.1   297   330   237   269   226   276 0.65 # 1125608 # 1126552 # 1 # ID=1_759;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.367
ctg000006_P_164      -            209 1592033at2           -            393    0.0034   15.3   0.4   1   1   3.3e-05      0.01   13.8   0.4   189   352     3   178     1   198 0.74 # 250564 # 251190 # 1 # ID=7_164;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.384
ctg000007_P_164      -            856 1592033at2           -            393    0.0038   15.2   0.3   1   2   3.4e-05      0.01   13.8   0.0   173   226   166   219   155   222 0.87 # 230493 # 233060 # 1 # ID=8_164;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.368
ctg000007_P_164      -            856 1592033at2           -            393    0.0038   15.2   0.3   2   2       3.9   1.2e+03   -2.9   0.1   273   321   334   379   328   412 0.62 # 230493 # 233060 # 1 # ID=8_164;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.368
ctg000010_P_252      -            224 1592033at2           -            393    0.0038   15.2   0.1   1   2     0.012       3.7    5.4   0.0   194   250    13    71    10    74 0.79 # 363268 # 363939 # 1 # ID=11_252;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.418
ctg000010_P_252      -            224 1592033at2           -            393    0.0038   15.2   0.1   2   2    0.0019      0.58    8.0   0.0   277   357    90   181    82   199 0.69 # 363268 # 363939 # 1 # ID=11_252;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.418
ctg000002_P_387      -            211 1592033at2           -            393    0.0041   15.1   0.5   1   2      0.97     3e+02   -0.9   0.0   197   223    10    35     3    65 0.71 # 595589 # 596221 # 1 # ID=3_387;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.417
ctg000002_P_387      -            211 1592033at2           -            393    0.0041   15.1   0.5   2   2   3.7e-05     0.011   13.6   0.1   271   361    78   182    76   207 0.68 # 595589 # 596221 # 1 # ID=3_387;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.417
ctg000005_P_541      -            193 1592033at2           -            393    0.0072   14.3   0.1   1   1   0.00032     0.097   10.6   0.1   201   321    32   143    26   164 0.75 # 803389 # 803967 # -1 # ID=6_541;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.390
ctg000001_P_676      -            223 1592033at2           -            393    0.0096   13.9   0.0   1   2     0.007       2.1    6.1   0.0   194   250    13    71    10    75 0.87 # 1017734 # 1018402 # -1 # ID=2_676;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.419
ctg000001_P_676      -            223 1592033at2           -            393    0.0096   13.9   0.0   2   2    0.0084       2.6    5.9   0.0   277   359    90   183    81   203 0.68 # 1017734 # 1018402 # -1 # ID=2_676;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.419
ctg000006_P_19       -            311 1592033at2           -            393     0.029   12.3   1.8   1   3      0.42   1.3e+02    0.3   0.0   195   240     7    53     2    64 0.77 # 22017 # 22949 # 1 # ID=7_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.382
ctg000006_P_19       -            311 1592033at2           -            393     0.029   12.3   1.8   2   3    0.0003     0.092   10.6   0.2   274   322    85   137    81   155 0.80 # 22017 # 22949 # 1 # ID=7_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.382
ctg000006_P_19       -            311 1592033at2           -            393     0.029   12.3   1.8   3   3       4.4   1.4e+03   -3.1   0.1   294   349   199   256   186   279 0.49 # 22017 # 22949 # 1 # ID=7_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.382
ctg000014_P_50       -            663 1592033at2           -            393      0.08   10.8   0.3   1   5      0.15        46    1.8   0.0   192   219     3    30     2    38 0.84 # 59548 # 61536 # -1 # ID=15_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ctg000014_P_50       -            663 1592033at2           -            393      0.08   10.8   0.3   2   5     0.068        21    2.9   0.0   299   341   103   141    73   181 0.77 # 59548 # 61536 # -1 # ID=15_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ctg000014_P_50       -            663 1592033at2           -            393      0.08   10.8   0.3   3   5       3.9   1.2e+03   -2.9   0.0   191   217   445   471   430   476 0.77 # 59548 # 61536 # -1 # ID=15_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ctg000014_P_50       -            663 1592033at2           -            393      0.08   10.8   0.3   4   5       0.6   1.9e+02   -0.2   0.0   270   322   519   580   516   616 0.70 # 59548 # 61536 # -1 # ID=15_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ctg000014_P_50       -            663 1592033at2           -            393      0.08   10.8   0.3   5   5      0.84   2.6e+02   -0.7   0.0   231   265   623   657   621   658 0.85 # 59548 # 61536 # -1 # ID=15_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
ctg000002_P_531      -            677 1592033at2           -            393       1.4    6.8   7.4   1   2     0.002      0.63    7.9   0.5   192   251   143   204   136   347 0.69 # 812318 # 814348 # -1 # ID=3_531;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
ctg000002_P_531      -            677 1592033at2           -            393       1.4    6.8   7.4   2   2       2.7   8.4e+02   -2.4   1.5   344   390   411   458   403   461 0.75 # 812318 # 814348 # -1 # ID=3_531;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/lineages/bacteria_odb10/hmms/1592033at2.hmm
# Target file:     /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/auto_lineage/run_bacteria_odb10/hmmer_output/1592033at2.out --cpu 1 /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_downloads/lineages/bacteria_odb10/hmms/1592033at2.hmm /Users/dominiquefastus/DeNovoProj/BUSCO_ass/busco_out/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dominiquefastus/DeNovoProj/BUSCO_ass
# Date:            Fri Feb 24 11:40:43 2023
# [ok]
